,stop_name,number_of_distinct_route_ids
264,Brankov Most,24
118,Karađorđev Park,23
462,Sajam,23
469,Ada Ciganlija,23
117,Karađorđev Park,22
461,Sajam,22
116,Trg Slavija /Bulevar Oslobođenja/,21
667,Trg Republike,20
464,Ruska,20
604,Franše Deperea,20
465,Gospodarska Mehana,18
155,Kijevska,17
165,Terazije,17
153,Dom Zdravlja,17
151,Škola Josif Pančić,17
709,Franše Deperea,16
154,Kijevska,16
152,Dom Zdravlja,16
150,Škola Josif Pančić,16
459,Mostar,16
237,Miloša Pocerca,16
331,Palata Srbija,16
1388,"Oš ""Dragojlo Dudić""",15
335,Blok 30,15
326,Zeleni Venac,15
328,Šest Kaplara,15
330,Palata Srbija,15
668,Pionirski Park,15
333,Španskih Boraca,15
1384,Bajdina,15
463,Ruska,15
467,Petlja Radnička,15
367,Bulevar Zorana Đinđića,15
370,Go Novi Beograd,15
340,Bulevar Maršala Tolbuhina,15
339,Bulevar Maršala Tolbuhina,15
338,Arhiv,15
317,Czk Vlada Divljan,14
332,Španskih Boraca,14
1083,Železnička Stanica Tošin Bunar,14
702,Miška Kranjca,14
336,Go Novi Beograd,14
316,Czk Vlada Divljan,14
1386,Mirijevska,14
327,Brankov Most,14
325,Zeleni Venac,14
148,Kneza Višeslava,14
368,Bulevar Zorana Đinđića,14
329,Šest Kaplara,13
157,Trebevićka,13
819,Paunova,13
115,Trg Slavija /Bulevar Oslobođenja/,13
837,Miljakovac 1,13
337,Arhiv,13
701,Miška Kranjca,13
260,Kragujevačkih Đaka,13
460,Mostar,13
258,Baštovanska,13
1387,"Oš ""Dragojlo Dudić""",13
238,Višegradska,13
471,Kirovljeva,13
236,Birčaninova,13
420,Ulaz U Pariske Komune,13
422,Fontana,13
334,Blok 30,13
1385,Mirijevska,13
369,Go Novi Beograd,13
1383,Bajdina,13
839,Go Rakovica,12
836,Miljakovac 1,12
834,Stanka Paunovića,12
257,Baštovanska,12
259,Kragujevačkih Đaka,12
902,Ulica Oslobođenja ,12
318,Jovana Avakumovića,12
235,London,12
234,Admirala Geprata,12
312,Vuka Vrčevića,12
156,Trebevićka,12
1605,Čukarica,12
313,Vuka Vrčevića,12
1079,Studentski Grad,12
1009,Zeleni Venac,12
1392,Novo Naselje,12
1394,Put Za Kaluđericu,12
1390,Nine Kirsanove,12
252,Vojnomedicinska Akademija,11
169,Trg Slavija,11
1398,Filipa Kljajića,11
1393,Put Za Kaluđericu,11
838,Go Rakovica,11
1400,Stara Kaluđerica,11
74,Koste Trifkovića,11
1161,Nikole Dobrovića,11
72,Mite Ružića,11
1082,Železnička Stanica Tošin Bunar,11
421,Fontana,11
761,Erport Siti,11
254,Plivalište Banjica,11
1391,Novo Naselje,11
167,Rk Beograđanka,11
828,Srpskih Udarnih Brigada,11
826,Pere Velimirovića,11
70,Dr Velizara Kosanovića,11
248,Paje Adamova,11
250,Banjica,11
830,Kanarevo Brdo,11
835,Stanka Paunovića,11
1389,Nine Kirsanove,11
685,Julino Brdo,11
321,Džordža Vašingtona,11
320,Cvijićeva,11
322,Džordža Vašingtona,11
319,Cvijićeva,11
688,Žarkovo,11
686,Julino Brdo,11
1410,Zdravstvena St. Leštane I Vinča,11
1148,Dr Huga Klajna,11
901,Ulica Oslobođenja ,11
517,Dalmatinska,11
519,Dalmatinska,11
1553,Banjica 2,10
246,Bolnica Dragiša Mišović,10
253,Plivalište Banjica,10
251,Vojnomedicinska Akademija,10
1555,Riste Stefanovića,10
669,Pionirski Park,10
249,Banjica,10
68,Pijaca Zvezdara,10
247,Paje Adamova,10
164,Terazije,10
245,Bolnica Dragiša Mišović,10
731,"Blok ""Branko Momirov""",10
1402,Čardak,10
166,Rk Beograđanka,10
1111,Zemun /Gornji Grad/,10
1112,Zemun /Gornji Grad/,10
1408,Dušana  Petrovića Šaneta,10
727,Blok Sutjeska,10
728,Partizanski Blok,10
1404,Hotel Radmilovac,10
729,Partizanski Blok,10
1406,Petra Kočića,10
732,Mz Krnjača,10
730,"Blok ""Branko Momirov""",10
69,Dr Velizara Kosanovića,10
1856,Blok Sutjeska,10
343,Novi Beograd /Paviljoni/,10
315,Pančevački Most,10
3010,Tc Galerija,10
1606,Čukarica,10
3008,Kula Beograd,10
1399,Stara Kaluđerica,10
1557,Voje Radića,10
344,Novi Beograd /Paviljoni/,10
73,Koste Trifkovića,10
1395,Put Za Institut,10
1396,Put Za Institut,10
825,Raška,10
824,Raška,10
818,Paunova,10
827,Pere Velimirovića,10
314,Pančevački Most,10
380,Trg Branka Radičevića,10
388,Filipa Višnjića,10
1397,Filipa Kljajića,10
382,Nade Dimić,10
381,Nade Dimić,10
387,Filipa Višnjića,10
379,Trg Branka Radičevića,10
378,Rk Beograd,10
376,Zemun /Pošta/,10
1213,Sebeš Suvi,9
1100,Nedeljka Gvozdenovića,9
1942,Marka Čelebonovića,9
498,Trg Republike,9
1900,Novo Naselje,9
499,Trg Republike,9
1899,Novo Naselje,9
3108,Beograd Na Vodi,9
1218,Pirotsko Naselje,9
1217,Pirotsko Naselje,9
1216,Pakračka,9
2021,Surčin /Centar/,9
1215,Pakračka,9
1214,Sebeš Suvi,9
1401,Čardak,9
1212,Sebeška Reka,9
1211,Sebeška Reka,9
1149,Dr Huga Klajna,9
1210,Sebeš Mokri,9
1407,Dušana  Petrovića Šaneta,9
1209,Sebeš Mokri,9
1207,Borča Raskršće,9
1405,Petra Kočića,9
1403,Hotel Radmilovac,9
30,Palilulska Pijaca,9
2076,Save Jovanovića,9
277,Makedonska,9
372,Džona Kenedija,9
263,Brankov Most,9
390,Ruska,9
2232,Biodekor,9
1561,Milutina Miljkovića,9
1713,Vikend Naselje,9
1711,Vila Mara,9
763,Milutina Milankovića,9
762,Erport Siti,9
758,Omladinskih Brigada,9
756,Blok 70,9
755,Blok 70,9
753,Gandijeva,9
1714,Vikend Naselje,9
67,Pijaca Zvezdara,9
1554,Riste Stefanovića,9
1552,Banjica 2,9
1002,Biodekor,9
1715,Malinjak,9
2471,Sc Mladost,9
2470,Sc Mladost,9
1716,Malinjak,9
1712,Vila Mara,9
829,Srpskih Udarnih Brigada,9
163,Trg Republike,9
831,Kanarevo Brdo,9
1563,Spomen Park Jajinci,9
1567,Rakovica Selo,9
88,Blok 21,9
1569,Kružni Put,9
1570,Beli Potok /Kumbara/,9
1571,Beli Potok /Kumbara/,9
904,Kneževac,9
1559,Jajinci /Dom Zdravlja/,9
870,Trošarina,9
866,Ustanička,9
858,Železnička Stanica Resnik,9
856,Aleksandra Vojinovića,9
2937,Trg Republike,9
1556,Voje Radića,9
71,Mite Ružića,9
1717,Galovica,9
1565,Rakovica Selo (Spomen Česma),9
1728,Skopljanska,9
1725,Marka Raba,9
1076,Studentska,9
1516,Kefalonijska,9
706,Palilulska Pijaca,9
1077,Studentska,9
1718,Galovica,9
1726,Marka Raba,9
1727,Skopljanska,9
1723,Crkva,9
1719,Orešac,9
1720,Orešac,9
1722,Surčin /Ulaz/,9
1724,Crkva,9
1721,Surčin /Ulaz/,9
500,Resavska,8
625,Put Za Adu Huju,8
627,Mirijevski Bulevar,8
1596,Kijevo,8
1560,Milutina Miljkovića,8
903,Kneževac,8
516,Omladinski Stadion,8
1929,Sc Vizura,8
919,Pijaca,8
626,Mirijevski Bulevar,8
1594,Deponija,8
1533,Pirandelova,8
927,Svetolika Lazarevića Laze,8
929,Obalskih Radnika,8
931,Mz Čukarička Padina,8
1562,Spomen Park Jajinci,8
623,Diljska,8
622,Diljska,8
621,Vojvode Micka Krstića,8
1898,Save Jovanovića,8
1568,Kružni Put,8
620,Vojvode Micka Krstića,8
1566,Rakovica Selo,8
1564,Rakovica Selo (Spomen Česma),8
548,Pravni Fakultet,8
854,13.Oktobra,8
371,Džona Kenedija,8
1558,Jajinci /Dom Zdravlja/,8
493,Toplana,8
2080,Boleč /Pumpa/,8
988,Vojno Medicinski Centar,8
1409,Zdravstvena St. Leštane I Vinča,8
389,Ruska,8
550,Tehnički Fakulteti,8
745,Blok 45,8
746,Blok 45,8
747,Dr Ivana Ribara 1,8
748,Dr Ivana Ribara 1,8
1146,Nikole Dobrovića,8
386,Tršćanska,8
385,Tršćanska,8
759,Tehnička Škola Novi Beograd,8
760,Tehnička Škola Novi Beograd,8
1101,Nedeljka Gvozdenovića,8
486,Pilota Mihajla Petrovića,8
373,Prve Pruge - Retenzija,8
1710,Ledine,8
1709,Ledine,8
487,Pilota Mihajla Petrovića,8
490,Vidikovački Venac,8
833,Vareška,8
492,Toplana,8
551,Tehnički Fakulteti,8
624,Put Za Adu Huju,8
46,Vatrogasna Komanda,8
48,Novo Groblje,8
49,Novo Groblje,8
45,Omladinski Stadion,8
162,Trg Republike,8
43,Kralja Petra,8
41,Braće Baruh,8
22,Dorćol /Kneginje Ljubice/,8
3071,Ilije Guteše,8
3072,Ilije Guteše,8
3094,1000 Ruža,8
3095,1000 Ruža,8
47,Vatrogasna Komanda,8
212,Podvožnjak,7
515,Sup Palilula,7
1116,Preduzeće Galenika Magmasil,7
1117,Coca-Cola,7
1115,Preduzeće Galenika Magmasil,7
1249,Naselje Tovilište,7
2944,Put Za Beli Potok,7
1118,Coca-Cola,7
1108,"Naselje ""Dr Ivan Ribar""",7
1107,Dr Ivana Ribara,7
1895,Surčin /Mlin/,7
1894,Surčin /Mlin/,7
872,Nemanjina,7
51,Studentski Trg,7
1099,Surčinska,7
1098,Surčinska,7
214,Marka Oreškovića,7
219,Gradska Bolnica,7
501,Glavna Pošta,7
225,Vladimira Tomanovića,7
27,Takovska,7
2074,Farmaceutski Fakultet,7
1645,Naselje Petlovo Brdo,7
1646,Naselje Petlovo Brdo,7
33,Vukov Spomenik,7
857,Železnička Stanica Resnik,7
433,Pijaca,7
2049,Boleč /Pumpa/,7
1141,Studentski Grad,7
216,Živojina Žujovića,7
1140,Milutina Milankovića,7
1412,Boleč Raskršće,7
865,Bistrička,7
488,Mz Vidikovac,7
489,Mz Vidikovac,7
491,Vidikovački Venac,7
1096,Dušana Vukasovića,7
217,Čegarska,7
1097,Dušana Vukasovića,7
1053,Omladinski Stadion/Izlaz/,7
549,Pravni Fakultet,7
186,Šumice,7
1600,Resnik /Izlaz/,7
1599,Spomenik,7
87,Blok 21,7
190,Konjarnik,7
691,Ratka Mitrovića,7
928,Obalskih Radnika,7
926,Svetolika Lazarevića Laze,7
189,Petrinjska,7
188,Petrinjska,7
1736,Braće Nikolić,7
1094,Crkva Sv. Georgija,7
1735,Braće Nikolić,7
1734,Krušedolska,7
1733,Krušedolska,7
715,Trg Oslobođenja,7
717,Stadion Rajko Mitić,7
718,Šekspirova,7
1593,Deponija,7
1731,Surčin /Centar/,7
1595,Kijevo,7
943,Železnički Tunel,7
945,Rupčine,7
947,Put Za Žtp,7
949,Ranžirna Stanica,7
25,Bulevar Despota Stefana,7
832,Vareška,7
130,Petrovačka,7
132,Nikšićka,7
133,Nikšićka,7
764,Milutina Milankovića,7
134,Visoka Škola Elektrotehnike,7
135,Visoka Škola Elektrotehnike,7
136,Saobraćajni Fakultet,7
137,Saobraćajni Fakultet,7
1517,Prvomajska,7
603,Birčaninova,7
2375,Omladinskih Brigada,7
1532,Pirandelova,7
615,Studentski Trg,7
629,Rospi Ćuprija,7
647,Institut Torlak,7
648,Institut Torlak,7
951,Železnik /Ulaz/,7
1175,Kneza Miloša,7
1598,Ispod Tunela,7
129,Vitanovačka,7
3011,Tc Galerija,7
125,Bože Jankovića,7
1232,Bratstva I Jedinstva,7
126,Kralja Vladimira,7
127,Kralja Vladimira,7
128,Vitanovačka,7
2101,Kosovopoljska,7
3009,Kula Beograd,7
855,Aleksandra Vojinovića,7
1234,Drinske Divizije,7
384,Dunavska,7
383,Dunavska,7
852,Kamenac,7
1200,Kombinatova,7
1197,Bele Bartoka,7
1198,Bele Bartoka,7
377,Zemun /Pošta/,7
2194,Kalemarska,7
1199,Kombinatova,7
1252,Marije Ilić Agapove,7
2090,Josipa Telarevića,7
2087,Naselje Tovilište,7
1253,Ratomira Stojadinovića,7
1255,Padinska Skela,7
122,Trg Oslobođenja,7
1256,Padinska Skela,7
123,Trg Oslobođenja,7
1251,Marije Ilić Agapove,7
1254,Ratomira Stojadinovića,7
1236,Save Mrkalja,7
1708,Tošin Bunar,6
1084,Stari Aerodrom,6
886,Trg Slavija /Nemanjina/,6
1518,Prvomajska,6
1088,Gandijeva,6
1087,Imt,6
58,Pijaca Đeram,6
1086,Imt,6
56,Go Zvezdara,6
57,Go Zvezdara,6
360,Deligradska,6
1707,Tošin Bunar,6
357,Franše Deperea,6
1095,Crkva Sv. Georgija,6
358,Franše Deperea,6
876,Braće Vučković,6
168,Trg Slavija,6
204,Makedonska,6
1202,Mihajla Šolohova,6
734,Dr Ivana Ribara,6
1597,Ispod Tunela,6
172,Mačvanska,6
171,Novopazarska,6
1113,Geomašina,6
374,Poljoprivredni Fakultet,6
851,Kamenac,6
209,Zdravka Čelara,6
719,Narodnog Heroja Milana Tepića,6
1878,Borča Raskršće,6
850,Avalska,6
2943,Put Za Beli Potok,6
364,Sava Centar,6
363,Sava Centar,6
206,27. Marta,6
59,Pijaca Đeram,6
9,Ekonomski Fakultet,6
752,Nehruova,6
1007,Zeleni Venac,6
1219,Blok 42,6
1602,Spomenik,6
1601,Resnik /Izlaz/,6
950,Železnik /Ulaz/,6
820,Pet Solitera,6
948,Ranžirna Stanica,6
821,Pet Solitera,6
946,Put Za Žtp,6
944,Rupčine,6
942,Železnički Tunel,6
714,Trg Oslobođenja,6
683,Železnička Stanica Dunav,6
930,Mz Čukarička Padina,6
1572,Pošta,6
1573,Pošta,6
323,Skadarska,6
1574,Avala,6
1575,Avala,6
66,Batutova,6
65,Batutova,6
64,Lion,6
750,Oš Branko Radičević,6
61,Pop Stojanova,6
324,Dom Omladine,6
62,Pop Stojanova,6
751,Nehruova,6
986,Petlovo Brdo,6
985,Petlovo Brdo,6
716,Stadion Rajko Mitić,6
749,Oš Branko Radičević,6
63,Lion,6
645,Kalemarska,6
375,22. Oktobra,6
649,Oktobarska,6
650,Oktobarska,6
970,Jablanička,6
1603,Palih Boraca,6
1551,Voždovac,6
359,Deligradska,6
1114,Geomašina,6
211,Podvožnjak,6
859,Slavoljuba Vuksanovića,6
864,Miljakovac 2,6
255,Paunova,6
1142,Sc 11. April,6
861,Narod. Heroja Velizara Stankovića,6
1144,Stojana Aralice,6
1411,Boleč Raskršće,6
213,Marka Oreškovića,6
1153,Gandijeva,6
42,Kralja Petra,6
2042,Peđe Milosavljevića,6
2225,Železnička Stanica Novi Beograd,6
2043,Ljubinke Bobić,6
21,Dorćol /Kneginje Ljubice/,6
2057,Solunska,6
437,Matice Srpske,6
436,Matice Srpske,6
2092,Brđanska,6
1181,Zadrugarska,6
1180,Zadrugarska,6
1176,Kneza Miloša,6
853,13.Oktobra,6
224,Šumice,6
1119,Elektronska Industrija,6
1120,Elektronska Industrija,6
215,Šabačka,6
2046,Marka Ristića,5
2032,Nikole Marakovića,5
2033,Nikole Marakovića,5
1121,Put Za 13. Maj,5
210,Zdravka Čelara,5
77,Vukov Spomenik /Bul.Kralja Aleksa./,5
84,Ekonomski Fakultet,5
2044,Ljubinke Bobić,5
2045,Marka Ristića,5
849,Avalska,5
2047,Milana Vujaklije,5
670,Voždovac,5
38,Savski Trg,5
446,Bulevar Kralja Aleksandra,5
1159,Generala Nedeljkovića,5
896,Miloša Pocerca,5
2053,Magelanova,5
1160,Generala Nedeljkovića,5
161,Beogradska Arena /Antifašističke Borbe/,5
448,Milutina Milankovića,5
40,Braće Baruh,5
2307,Miljakovačka Šuma,5
644,Beranska,5
976,Serdar Janka Vukotića,5
975,Serdar Janka Vukotića,5
973,Labudovo Brdo,5
1185,Karađorđev Trg,5
2103,Pretok,5
641,Milića Marinovića,5
642,Milića Marinovića,5
643,Beranska,5
860,Slavoljuba Vuksanovića,5
208,Jaše Prodanovića,5
646,Kumodraž 2,5
2945,Put Za Src,5
2102,Pretok,5
278,Aleksandra Dubčeka,5
651,Palih Boraca,5
231,Medaković 3,5
653,Mz Kumodraž,5
654,Mz Kumodraž,5
89,Sava Centar,5
90,Sava Centar,5
978,Jedanaeste Krajiške Divizije,5
28,Takovska,5
32,Vukov Spomenik,5
1238,Bratstva I Jedinstva,5
31,Mašinski Fakultet,5
2089,Josipa Telarevića,5
2071,Ane Ahmatove,5
240,Ortopedski Zavod,5
2306,Miljakovačka Šuma,5
23,Pijaca Skadarlija,5
1195,Borča 3,5
430,Mirijevo 3,5
170,Katanićeva,5
2077,Žs Pančevački Most,5
2428,Palata Pravde,5
26,Bulevar Despota Stefana,5
2430,Durmitorska,5
1196,Borča 3,5
173,Katanićeva,5
522,"Pijaca ""Kalenić""",5
34,Pravni Fakultet,5
917,Železnik /Centar/,5
91,Blok 23,5
1694,Aleksandra Dubčeka,5
92,Blok 23,5
687,Žarkovo,5
689,Ace Joksimovića,5
2059,Žs Pančevački Most,5
295,Oš Gavrilo Princip,5
296,Oš Gavrilo Princip,5
3006,Savski Park,5
695,Pilota Mihajla Petrovića,5
697,Janković Stojana,5
918,Železnik /Centar/,5
698,Janković Stojana,5
699,Marička,5
700,Marička,5
435,Semjuela Beketa,5
434,Semjuela Beketa,5
1930,Put Za Src,5
2091,Brđanska,5
35,Pravni Fakultet,5
977,Jedanaeste Krajiške Divizije,5
974,Labudovo Brdo,5
979,Generala Zgonjanina,5
885,Trg Slavija /Nemanjina/,5
1133,Braće Smiljanić,5
485,Ratka Mitrovića,5
774,Filipa Višnjića,5
773,Filipa Višnjića,5
772,Branka Pešića,5
771,Branka Pešića,5
770,Stadion Zemun,5
769,Stadion Zemun,5
767,Ugrinovačka,5
1177,Savski Trg,5
586,Vitezova Karađorđeve Zvezde,5
587,Vitezova Karađorđeve Zvezde,5
588,Selište,5
589,Selište,5
980,Generala Zgonjanina,5
591,Stojčino Brdo,5
1206,Valjevskog Odreda,5
3019,Beograd Na Vodi,5
1611,Nićiforovićeva,5
1613,Železnička Rampa,5
1022,Blok 42,5
1837,Franje Krča,5
1125,Naselje Ekonomija,5
1839,Zemun Polje,5
1126,Naselje Ekonomija,5
2155,Mali Zbeg,5
205,27. Marta,5
1127,Belarička,5
497,Dušanova,5
2156,Mali Zbeg,5
496,Dušanova,5
1615,Stevana Filipovića,5
1128,Batajnica (Ulaz),5
1129,Batajnica (Ulaz),5
1204,Milana Ajvaza,5
1832,Institut Za Kukuruz,5
54,Mašinski Fakultet,5
1078,Studentski Grad,5
2226,Milana Vujaklije,5
1131,Maksima Brankovića,5
2157,Groblje Zbeg,5
590,Stojčino Brdo,5
1783,Ugrinovci /Ulaz/,5
873,Drinska,5
2555,Belarička,5
353,Beogradska Arena /Antifašističke Borbe/,5
757,Omladinskih Brigada,5
3015,Bolnica,5
874,Žarkovo,5
754,Gandijeva,5
1122,Put Za 13. Maj,5
280,Kbc Zemun,5
3016,Bolnica,5
2138,Magelanova,5
279,Kbc Zemun,5
984,Rasinska,5
983,Rasinska,5
982,Milorada Draškovića,5
2172,Zlatanovići,5
981,Milorada Draškovića,5
1785,Beogradska,5
24,Pijaca Skadarlija,5
1787,Ugrinovci /Centar/,5
2160,Zemun Polje,5
3041,Savski Most,5
1788,Ugrinovci,5
1137,Batajnica (Centar),5
863,Miljakovac 2,5
862,Narod. Heroja Velizara Stankovića,5
1011,Staro Sajmište,5
875,Braće Vučković,5
1135,Majke Jugovića,5
2158,Groblje Zbeg,5
110,Oš Branko Radičević,4
111,Dr Ivana Ribara,4
1620,Gorica,4
106,Gandijeva,4
1642,Sremčica,4
1622,Sremčica /Ulaz/,4
112,Dr Ivana Ribara,4
107,Nehruova,4
105,Gandijeva,4
102,Omladinskih Brigada,4
1617,Žikice Jovanovića,4
103,Blok 70,4
1616,Žikice Jovanovića,4
1610,Nićiforovićeva,4
1614,Stevana Filipovića,4
109,Oš Branko Radičević,4
104,Blok 70,4
1612,Železnička Rampa,4
113,Blok 45,4
1619,Sare Bernar,4
108,Nehruova,4
894,Zeleni Venac,4
1499,Leštane,4
900,Božidara Stojanovića,4
1170,Mz Mladost,4
1163,Bežanijska Kosa (Ulaz),4
2958,Trg Slavija,4
39,Savski Trg,4
1150,Bežanijska Kosa (Izlaz),4
1143,Sc 11. April,4
1413,Hladnjača Pkb,4
1414,Hladnjača Pkb,4
1134,Majke Jugovića,4
1132,Braće Smiljanić,4
1130,Maksima Brankovića,4
1124,Ciglana,4
1123,Ciglana,4
1110,Blok 61,4
1109,Blok 61,4
1415,Vikendice,4
1416,Vikendice,4
1417,Plantaža,4
1418,Plantaža,4
1419,Bećarevo Brdo,4
1420,Bećarevo Brdo,4
2938,Studentski Trg,4
3007,Savski Park,4
1171,Mz Mladost,4
1497,Leštane /Ulaz/,4
1382,Ustanička,4
1242,Put Za Kovilovo,4
1237,Omladinski Stadion,4
1257,Kp Dom,4
1258,Kp Dom,4
1259,Sefkereški Kanal,4
1260,Sefkereški Kanal,4
1261,Put Za Vrbovski,4
1262,Put Za Vrbovski,4
1354,Rospi Ćuprija,4
1356,Trudbenička,4
1222,Agostina Neta,4
1221,Agostina Neta,4
1357,Trudbenička,4
3089,Palata Pravde 1,4
1208,Borča Raskršće,4
1358,Višnjička Banja,4
1359,Višnjika Banja,4
1360,Toplana,4
1361,Toplana,4
1362,Lešće,4
1363,Lešće,4
55,Vukov Spomenik /Bul.Kralja Aleksa./,4
1498,Leštane /Izlaz/,4
101,Omladinskih Brigada,4
1543,Radisava Ignjatovića,4
1545,Kaluđerica /Centar/,4
1546,Isidora Blagojevića,4
1547,Isidora Blagojevića,4
987,Banovo Brdo,4
972,Kneževac,4
971,Kneževac,4
969,Jablanička,4
75,Ustanička,4
76,Ustanička,4
941,Bele Vode,4
