,route_short_name,stop_name,service_id,average_wait
0,22L,Trg Slavija,Zimski-Radni Dan,0:04:23.007519
1,22L,Trg Slavija,Zimski-Nedelja,0:05:36.346154
2,22L,Trg Slavija,Zimski-Subota,0:05:36.346154
3,22L,Studentski Trg,Zimski-Radni Dan,0:04:25.168539
4,22L,Studentski Trg,Zimski-Subota,0:05:38.755981
5,22L,Studentski Trg,Zimski-Nedelja,0:05:38.755981
6,31,Studentski Trg,Zimski-Radni Dan,0:05:46.733668
7,31,Studentski Trg,Zimski-Subota,0:07:36.953642
8,31,Studentski Trg,Zimski-Nedelja,0:09:16.451613
9,E9,Studentski Trg,Zimski-Radni Dan,0:11:48.648649
10,26,Naselje Braće Jerković,Zimski-Radni Dan,0:05:06.756757
11,26,Naselje Braće Jerković,Zimski-Subota,0:07:25.098039
12,26,Naselje Braće Jerković,Zimski-Nedelja,0:08:43.846154
13,26,Dorćol /Dunavska/,Zimski-Radni Dan,0:05:13.761468
14,26,Dorćol /Dunavska/,Zimski-Subota,0:07:45.306122
15,26,Dorćol /Dunavska/,Zimski-Nedelja,0:08:54.375000
16,29A,Medaković 3,Zimski-Radni Dan,0:05:36.231884
17,29A,Medaković 3,Zimski-Subota,0:08:08.028169
18,29A,Medaković 3,Zimski-Nedelja,0:08:08.028169
19,18,Medaković 3,Zimski-Radni Dan,0:08:20
20,26L,Medaković 3,Zimski-Radni Dan,0:08:31.525424
21,18,Medaković 3,Zimski-Subota,0:10:46.788991
22,18,Medaković 3,Zimski-Nedelja,0:11:31.176471
23,26L,Medaković 3,Zimski-Subota,0:17:04.137931
24,26L,Medaković 3,Zimski-Nedelja,0:17:04.137931
25,29A,Trg Slavija,Zimski-Radni Dan,0:05:40.191388
26,29A,Trg Slavija,Zimski-Nedelja,0:08:10.344828
27,29A,Trg Slavija,Zimski-Subota,0:08:10.344828
28,21A,Trg Slavija,Zimski-Radni Dan,0:10:07.894737
29,21A,Trg Slavija,Zimski-Subota,0:17:14.328358
30,21A,Trg Slavija,Zimski-Nedelja,0:17:14.328358
31,31,Konjarnik,Zimski-Radni Dan,0:05:46.039604
32,31,Konjarnik,Zimski-Subota,0:07:39.868421
33,31,Konjarnik,Zimski-Nedelja,0:09:23.709677
34,309,Kaluđerica,Zimski-Radni Dan,0:06:02.436548
35,309,Kaluđerica,Zimski-Subota,0:08:56.842105
36,309,Kaluđerica,Zimski-Nedelja,0:08:56.842105
37,309,Zvezdara /Pijaca/,Zimski-Radni Dan,0:06:07.539267
38,309,Zvezdara /Pijaca/,Zimski-Subota,0:09:00
39,309,Zvezdara /Pijaca/,Zimski-Nedelja,0:09:00
40,16,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:06:07.741935
41,16,Novi Beograd /Paviljoni/,Zimski-Nedelja,0:10:57.692308
42,16,Novi Beograd /Paviljoni/,Zimski-Subota,0:10:57.692308
43,611,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:16:05.753425
44,610,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:17:27.761194
45,82,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:17:49.354839
46,81,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:18:00
47,82,Novi Beograd /Paviljoni/,Zimski-Subota,0:19:23.157895
48,82,Novi Beograd /Paviljoni/,Zimski-Nedelja,0:19:23.157895
49,81L,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:19:29.491525
50,611,Novi Beograd /Paviljoni/,Zimski-Subota,0:25:20
51,611,Novi Beograd /Paviljoni/,Zimski-Nedelja,0:25:20
52,610,Novi Beograd /Paviljoni/,Zimski-Nedelja,0:27:12.558140
53,610,Novi Beograd /Paviljoni/,Zimski-Subota,0:27:12.558140
54,81,Novi Beograd /Paviljoni/,Zimski-Nedelja,0:33:26.250000
55,81,Novi Beograd /Paviljoni/,Zimski-Subota,0:33:26.250000
56,81L,Novi Beograd /Paviljoni/,Zimski-Nedelja,0:33:45
57,81L,Novi Beograd /Paviljoni/,Zimski-Subota,0:33:45
58,613,Novi Beograd /Paviljoni/,Zimski-Subota,0:43:20
59,613,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:43:20
60,612,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:47:30
61,612,Novi Beograd /Paviljoni/,Zimski-Subota,0:47:30
62,711,Novi Beograd /Paviljoni/,Zimski-Radni Dan,0:47:55
63,711,Novi Beograd /Paviljoni/,Zimski-Subota,0:47:55
64,711,Novi Beograd /Paviljoni/,Zimski-Nedelja,0:47:55
65,613,Novi Beograd /Paviljoni/,Zimski-Nedelja,1:21:00
66,607,Novi Beograd /Paviljoni/,Zimski-Subota,1:31:52.500000
67,607,Novi Beograd /Paviljoni/,Zimski-Radni Dan,1:31:52.500000
68,607,Novi Beograd /Paviljoni/,Zimski-Nedelja,1:31:52.500000
69,612,Novi Beograd /Paviljoni/,Zimski-Nedelja,1:32:00
70,16,Karaburma 2,Zimski-Radni Dan,0:06:10.588235
71,16,Karaburma 2,Zimski-Nedelja,0:11:00
72,16,Karaburma 2,Zimski-Subota,0:11:00
73,41,Studentski Trg,Zimski-Radni Dan,0:06:25.714286
74,41,Studentski Trg,Zimski-Nedelja,0:06:45.780347
75,41,Studentski Trg,Zimski-Subota,0:06:45.780347
76,28,Studentski Trg,Zimski-Radni Dan,0:09:47.394958
77,28,Studentski Trg,Zimski-Subota,0:10:35.454545
78,28,Studentski Trg,Zimski-Nedelja,0:10:35.454545
79,50,Banovo Brdo,Zimski-Radni Dan,0:06:27.428571
80,50,Banovo Brdo,Zimski-Subota,0:08:25.970149
81,50,Banovo Brdo,Zimski-Nedelja,0:10:51.923077
82,49,Banovo Brdo,Zimski-Radni Dan,0:14:25.714286
83,85,Banovo Brdo,Zimski-Radni Dan,0:16:42.985075
84,49,Banovo Brdo,Zimski-Nedelja,0:18:42.222222
85,49,Banovo Brdo,Zimski-Subota,0:18:42.222222
86,57,Banovo Brdo,Zimski-Radni Dan,0:19:36.470588
87,85,Banovo Brdo,Zimski-Subota,0:19:38.947368
88,85,Banovo Brdo,Zimski-Nedelja,0:22:14.693878
89,57,Banovo Brdo,Zimski-Subota,0:38:27.692308
90,57,Banovo Brdo,Zimski-Nedelja,0:38:27.692308
91,41,Banjica 2,Zimski-Radni Dan,0:06:32.571429
92,41,Banjica 2,Zimski-Nedelja,0:06:47.017544
93,41,Banjica 2,Zimski-Subota,0:06:47.017544
94,40,Banjica 2,Zimski-Radni Dan,0:09:23.157895
95,40,Banjica 2,Zimski-Nedelja,0:10:19.223301
96,40,Banjica 2,Zimski-Subota,0:10:19.223301
97,78,Banjica 2,Zimski-Radni Dan,0:10:36.363636
98,78,Banjica 2,Zimski-Subota,0:17:00
99,78,Banjica 2,Zimski-Nedelja,0:18:12.857143
100,50,Bulevar Kralja Aleksandra,Zimski-Radni Dan,0:06:33.641618
101,50,Bulevar Kralja Aleksandra,Zimski-Subota,0:08:24.545455
102,50,Bulevar Kralja Aleksandra,Zimski-Nedelja,0:10:52.941176
103,E1,Bulevar Kralja Aleksandra,Zimski-Radni Dan,0:29:00
104,E1,Bulevar Kralja Aleksandra,Zimski-Subota,0:29:00
105,37,Žs Pančevački Most,Zimski-Radni Dan,0:06:39.375000
106,37,Žs Pančevački Most,Zimski-Subota,0:10:14.423077
107,96,Žs Pančevački Most,Zimski-Nedelja,0:11:33
108,96,Žs Pančevački Most,Zimski-Subota,0:11:33
109,96,Žs Pančevački Most,Zimski-Radni Dan,0:11:47.142857
110,37,Žs Pančevački Most,Zimski-Nedelja,0:13:28.860759
111,58,Žs Pančevački Most,Zimski-Radni Dan,0:14:42.857143
112,58,Žs Pančevački Most,Zimski-Subota,0:18:23.571429
113,58,Žs Pančevački Most,Zimski-Nedelja,0:26:24.615385
114,37,Kneževac,Zimski-Radni Dan,0:06:42.909091
115,3A,Kneževac,Zimski-Radni Dan,0:10:10.344828
116,37,Kneževac,Zimski-Subota,0:10:28.301887
117,3A,Kneževac,Zimski-Subota,0:12:17.500000
118,3A,Kneževac,Zimski-Nedelja,0:12:17.500000
119,37,Kneževac,Zimski-Nedelja,0:13:42.222222
120,507,Kneževac,Zimski-Subota,0:34:11.612903
121,507,Kneževac,Zimski-Nedelja,0:34:11.612903
122,507,Kneževac,Zimski-Radni Dan,0:34:11.612903
123,95,Blok 45,Zimski-Radni Dan,0:06:44.733728
124,95,Blok 45,Zimski-Subota,0:08:15.652174
125,95,Blok 45,Zimski-Nedelja,0:08:42.137405
126,94,Blok 45,Zimski-Radni Dan,0:09:22.500000
127,73,Blok 45,Zimski-Radni Dan,0:11:35.876289
128,94,Blok 45,Zimski-Subota,0:11:43.125000
129,94,Blok 45,Zimski-Nedelja,0:12:13.695652
130,73,Blok 45,Zimski-Subota,0:12:47.045455
131,73,Blok 45,Zimski-Nedelja,0:19:02.033898
132,E6,Blok 45,Zimski-Radni Dan,0:19:33.913043
133,E6,Blok 45,Zimski-Subota,0:19:33.913043
134,604,Blok 45,Zimski-Radni Dan,0:20:15.789474
135,605,Blok 45,Zimski-Radni Dan,0:22:35.769231
136,E1,Blok 45,Zimski-Radni Dan,0:29:00
137,E1,Blok 45,Zimski-Subota,0:29:00
138,605,Blok 45,Zimski-Subota,0:34:07.058824
139,605,Blok 45,Zimski-Nedelja,0:34:07.058824
140,604,Blok 45,Zimski-Subota,0:39:18.620690
141,604,Blok 45,Zimski-Nedelja,0:39:18.620690
142,511,Beograd Na Vodi,Zimski-Radni Dan,0:06:45.172414
143,511,Beograd Na Vodi,Zimski-Subota,0:10:13.157895
144,511,Beograd Na Vodi,Zimski-Nedelja,0:10:18.584071
145,51,Beograd Na Vodi,Zimski-Radni Dan,0:11:11.875000
146,51,Beograd Na Vodi,Zimski-Nedelja,0:14:27.567568
147,51,Beograd Na Vodi,Zimski-Subota,0:14:27.567568
148,48,Miljakovac 3,Zimski-Radni Dan,0:06:46.875000
149,48,Miljakovac 3,Zimski-Subota,0:09:51.818182
150,48,Miljakovac 3,Zimski-Nedelja,0:11:04.285714
151,95,Borča 3,Zimski-Radni Dan,0:06:49.058824
152,95,Borča 3,Zimski-Subota,0:08:08.028169
153,95,Borča 3,Zimski-Nedelja,0:08:53.076923
154,96,Borča 3,Zimski-Nedelja,0:11:45.154639
155,96,Borča 3,Zimski-Subota,0:11:45.154639
156,96,Borča 3,Zimski-Radni Dan,0:12:00
157,511,Sremčica,Zimski-Radni Dan,0:06:49.714286
158,511,Sremčica,Zimski-Nedelja,0:10:07.627119
159,511,Sremčica,Zimski-Subota,0:10:12.820513
160,48,Žs Pančevački Most,Zimski-Radni Dan,0:06:57.073171
161,33,Žs Pančevački Most,Zimski-Radni Dan,0:07:45.517241
162,33,Žs Pančevački Most,Zimski-Subota,0:09:52.105263
163,48,Žs Pančevački Most,Zimski-Subota,0:09:54.782609
164,48,Žs Pančevački Most,Zimski-Nedelja,0:11:24
165,33,Žs Pančevački Most,Zimski-Nedelja,0:12:30
166,23,Vidikovac,Zimski-Radni Dan,0:07:03.636364
167,23,Vidikovac,Zimski-Subota,0:09:32.950820
168,23,Vidikovac,Zimski-Nedelja,0:09:32.950820
169,53,Vidikovac,Zimski-Radni Dan,0:11:32.783505
170,53,Vidikovac,Zimski-Subota,0:12:18.461538
171,53,Vidikovac,Zimski-Nedelja,0:12:33.333333
172,23,Karaburma 2,Zimski-Radni Dan,0:07:05.925926
173,23,Karaburma 2,Zimski-Nedelja,0:09:25.573770
174,23,Karaburma 2,Zimski-Subota,0:09:25.573770
175,27,Trg Republike,Zimski-Radni Dan,0:07:09.878049
176,27,Trg Republike,Zimski-Subota,0:09:47.500000
177,27,Trg Republike,Zimski-Nedelja,0:12:30
178,46,Mirijevo,Zimski-Radni Dan,0:07:23.312102
179,46,Mirijevo,Zimski-Subota,0:08:33.333333
180,46,Mirijevo,Zimski-Nedelja,0:11:33
181,46,Beograd Na Vodi,Zimski-Radni Dan,0:07:24
182,46,Beograd Na Vodi,Zimski-Subota,0:08:24.545455
183,46,Beograd Na Vodi,Zimski-Nedelja,0:11:26.597938
184,88,Novi Železnik,Zimski-Radni Dan,0:07:24.230769
185,88,Novi Železnik,Zimski-Nedelja,0:09:34.576271
186,88,Novi Železnik,Zimski-Subota,0:09:34.576271
187,58,Novi Železnik,Zimski-Radni Dan,0:15:26.086957
188,58,Novi Železnik,Zimski-Subota,0:18:53.333333
189,58,Novi Železnik,Zimski-Nedelja,0:26:09.230769
190,56,Zeleni Venac,Zimski-Radni Dan,0:07:24.303797
191,56,Zeleni Venac,Zimski-Subota,0:10:00
192,56,Zeleni Venac,Zimski-Nedelja,0:10:00
193,56L,Zeleni Venac,Zimski-Radni Dan,0:48:27.692308
194,27,Mirijevo 3,Zimski-Radni Dan,0:07:24.303797
195,27,Mirijevo 3,Zimski-Subota,0:09:54.782609
196,74,Mirijevo 3,Zimski-Radni Dan,0:10:13.636364
197,27,Mirijevo 3,Zimski-Nedelja,0:12:31.648352
198,74,Mirijevo 3,Zimski-Subota,0:15:12.328767
199,74,Mirijevo 3,Zimski-Nedelja,0:17:20.625000
200,20,Mirijevo 3,Zimski-Radni Dan,0:21:37.959184
201,20,Mirijevo 3,Zimski-Nedelja,0:27:53.684211
202,20,Mirijevo 3,Zimski-Subota,0:27:53.684211
203,56,Petlovo Brdo,Zimski-Radni Dan,0:07:26.202532
204,59,Petlovo Brdo,Zimski-Radni Dan,0:07:30
205,56,Petlovo Brdo,Zimski-Nedelja,0:10:23.893805
206,56,Petlovo Brdo,Zimski-Subota,0:10:23.893805
207,59,Petlovo Brdo,Zimski-Subota,0:11:15
208,42,Petlovo Brdo,Zimski-Radni Dan,0:12:49.411765
209,E2,Petlovo Brdo,Zimski-Radni Dan,0:13:06.956522
210,59,Petlovo Brdo,Zimski-Nedelja,0:15:00
211,E2,Petlovo Brdo,Zimski-Subota,0:17:32.400000
212,42,Petlovo Brdo,Zimski-Nedelja,0:25:06.976744
213,42,Petlovo Brdo,Zimski-Subota,0:25:06.976744
214,501,Petlovo Brdo,Zimski-Subota,0:57:00
215,501,Petlovo Brdo,Zimski-Radni Dan,0:57:00
216,501,Petlovo Brdo,Zimski-Nedelja,0:57:00
217,59,Birčaninova,Zimski-Radni Dan,0:07:30
218,47,Birčaninova,Zimski-Subota,0:07:50.833333
219,47,Birčaninova,Zimski-Radni Dan,0:08:11.304348
220,39,Birčaninova,Zimski-Radni Dan,0:09:54.495413
221,47,Birčaninova,Zimski-Nedelja,0:10:58.252427
222,59,Birčaninova,Zimski-Subota,0:11:22.105263
223,42,Birčaninova,Zimski-Radni Dan,0:13:11.860465
224,39,Birčaninova,Zimski-Subota,0:13:30
225,59,Birčaninova,Zimski-Nedelja,0:14:47.671233
226,39,Birčaninova,Zimski-Nedelja,0:16:36.923077
227,30,Birčaninova,Zimski-Radni Dan,0:18:10
228,402,Birčaninova,Zimski-Radni Dan,0:21:18.260870
229,401,Birčaninova,Zimski-Radni Dan,0:22:10.188679
230,30,Birčaninova,Zimski-Subota,0:23:11.489362
231,42,Birčaninova,Zimski-Nedelja,0:25:20.454545
232,42,Birčaninova,Zimski-Subota,0:25:20.454545
233,402,Birčaninova,Zimski-Subota,0:30:00
234,402,Birčaninova,Zimski-Nedelja,0:30:00
235,401,Birčaninova,Zimski-Nedelja,0:31:53.513514
236,401,Birčaninova,Zimski-Subota,0:31:53.513514
237,30,Birčaninova,Zimski-Nedelja,0:38:55.714286
238,88,Karađorđev Trg,Zimski-Radni Dan,0:07:32.027027
239,88,Karađorđev Trg,Zimski-Nedelja,0:10:02.702703
240,88,Karađorđev Trg,Zimski-Subota,0:10:02.702703
241,33,Kumodraž,Zimski-Radni Dan,0:07:32.980132
242,33,Kumodraž,Zimski-Subota,0:09:49.655172
243,E9,Kumodraž,Zimski-Radni Dan,0:11:50.270270
244,33,Kumodraž,Zimski-Nedelja,0:12:31.648352
245,45,Blok 44,Zimski-Radni Dan,0:07:40.273973
246,45,Blok 44,Zimski-Subota,0:09:27.500000
247,45,Blok 44,Zimski-Nedelja,0:10:36.448598
248,82,Blok 44,Zimski-Radni Dan,0:16:59.047619
249,82,Blok 44,Zimski-Subota,0:18:41.052632
250,82,Blok 44,Zimski-Nedelja,0:18:41.052632
251,602,Blok 44,Zimski-Radni Dan,0:28:20
252,602,Blok 44,Zimski-Subota,0:37:45.517241
253,602,Blok 44,Zimski-Nedelja,0:37:45.517241
254,84,Nova Galenika,Zimski-Radni Dan,0:07:42.162162
255,84,Nova Galenika,Zimski-Subota,0:10:10.714286
256,84,Nova Galenika,Zimski-Nedelja,0:12:40
257,612,Nova Galenika,Zimski-Radni Dan,0:47:30
258,612,Nova Galenika,Zimski-Subota,0:47:30
259,612,Nova Galenika,Zimski-Nedelja,1:32:00
260,15,Zeleni Venac,Zimski-Radni Dan,0:07:45.100671
261,15,Zeleni Venac,Zimski-Subota,0:07:52.602740
262,15,Zeleni Venac,Zimski-Nedelja,0:09:12
263,68,Zeleni Venac,Zimski-Radni Dan,0:25:38.461538
264,68,Zeleni Venac,Zimski-Subota,0:29:24.705882
265,68,Zeleni Venac,Zimski-Nedelja,0:29:24.705882
266,45,Zemun /Novi Grad/,Zimski-Radni Dan,0:07:45.306122
267,15,Zemun /Novi Grad/,Zimski-Radni Dan,0:07:57.551020
268,15,Zemun /Novi Grad/,Zimski-Subota,0:07:57.551020
269,15,Zemun /Novi Grad/,Zimski-Nedelja,0:09:17.142857
270,45,Zemun /Novi Grad/,Zimski-Subota,0:09:30
271,45,Zemun /Novi Grad/,Zimski-Nedelja,0:10:33.333333
272,78,Zemun /Novi Grad/,Zimski-Radni Dan,0:10:54
273,78,Zemun /Novi Grad/,Zimski-Subota,0:16:43.278689
274,78,Zemun /Novi Grad/,Zimski-Nedelja,0:17:53.684211
275,27E,Novi Beograd (Blok 20),Zimski-Radni Dan,0:07:49.565217
276,27E,Novi Beograd (Blok 20),Zimski-Subota,0:09:28.141593
277,27E,Novi Beograd (Blok 20),Zimski-Nedelja,0:10:35.643564
278,17,Zemun /Gornji Grad/,Zimski-Radni Dan,0:07:53.154362
279,17,Zemun /Gornji Grad/,Zimski-Nedelja,0:09:08.437500
280,17,Zemun /Gornji Grad/,Zimski-Subota,0:09:08.437500
281,17,Konjarnik,Zimski-Radni Dan,0:07:55.510204
282,17,Konjarnik,Zimski-Subota,0:08:51.297710
283,17,Konjarnik,Zimski-Nedelja,0:08:59.534884
284,27E,Mirijevo 4,Zimski-Radni Dan,0:07:58.321678
285,27E,Mirijevo 4,Zimski-Subota,0:09:39.661017
286,27E,Mirijevo 4,Zimski-Nedelja,0:10:45.283019
287,79,Mirijevo 4,Zimski-Radni Dan,0:12:36.818182
288,25P,Mirijevo 4,Zimski-Radni Dan,0:15:29.166667
289,79,Mirijevo 4,Zimski-Subota,0:17:20.625000
290,79,Mirijevo 4,Zimski-Nedelja,0:17:20.625000
291,25P,Mirijevo 4,Zimski-Subota,0:17:54.193548
292,E6,Mirijevo 4,Zimski-Radni Dan,0:19:33.913043
293,E6,Mirijevo 4,Zimski-Subota,0:19:33.913043
294,25P,Mirijevo 4,Zimski-Nedelja,0:22:12
295,47,Železnička Stanica Resnik,Zimski-Subota,0:08:01.632653
296,47,Železnička Stanica Resnik,Zimski-Radni Dan,0:08:11.666667
297,47,Železnička Stanica Resnik,Zimski-Nedelja,0:11:05.094340
298,504,Železnička Stanica Resnik,Zimski-Subota,0:19:02.105263
299,504,Železnička Stanica Resnik,Zimski-Radni Dan,0:19:02.105263
300,504,Železnička Stanica Resnik,Zimski-Nedelja,0:19:02.105263
301,503,Železnička Stanica Resnik,Zimski-Radni Dan,0:42:17.500000
302,503,Železnička Stanica Resnik,Zimski-Nedelja,1:12:30
303,503,Železnička Stanica Resnik,Zimski-Subota,1:12:30
304,84,Zeleni Venac,Zimski-Radni Dan,0:08:02.517483
305,84,Zeleni Venac,Zimski-Subota,0:09:58.956522
306,84,Zeleni Venac,Zimski-Nedelja,0:12:34.945055
307,65,Novo Bežanijsko Groblje,Zimski-Radni Dan,0:08:15.857143
308,65,Novo Bežanijsko Groblje,Zimski-Subota,0:11:03.461538
309,65,Novo Bežanijsko Groblje,Zimski-Nedelja,0:12:03.157895
310,43,Kotež,Zimski-Subota,0:08:23.649635
311,43,Kotež,Zimski-Radni Dan,0:08:27.352941
312,43,Kotež,Zimski-Nedelja,0:10:57.142857
313,18,Zemun /Bačka/,Zimski-Radni Dan,0:08:24.347826
314,18,Zemun /Bačka/,Zimski-Subota,0:10:32.727273
315,18,Zemun /Bačka/,Zimski-Nedelja,0:11:40
316,83,Zemun /Bačka/,Zimski-Subota,0:11:49.375000
317,83,Zemun /Bačka/,Zimski-Radni Dan,0:12:00
318,83,Zemun /Bačka/,Zimski-Nedelja,0:14:56.052632
319,43,Trg Republike,Zimski-Subota,0:08:25.839416
320,43,Trg Republike,Zimski-Radni Dan,0:08:29.558824
321,43,Trg Republike,Zimski-Nedelja,0:11:06.346154
322,65,Zvezdara 2,Zimski-Radni Dan,0:08:27.352941
323,65,Zvezdara 2,Zimski-Subota,0:11:10.588235
324,65,Zvezdara 2,Zimski-Nedelja,0:11:52.500000
325,26L,Vojvode Vlahovića (Terminus),Zimski-Radni Dan,0:08:27.731092
326,26L,Vojvode Vlahovića (Terminus),Zimski-Nedelja,0:17:03.050847
327,26L,Vojvode Vlahovića (Terminus),Zimski-Subota,0:17:03.050847
328,35,Novi Beograd (Blok 20),Zimski-Radni Dan,0:08:39.047619
329,35,Novi Beograd (Blok 20),Zimski-Subota,0:10:00
330,35,Novi Beograd (Blok 20),Zimski-Nedelja,0:12:55.609756
331,35,Lešće /Groblje/,Zimski-Radni Dan,0:08:39.685039
332,35,Lešće /Groblje/,Zimski-Subota,0:09:57.272727
333,35,Lešće /Groblje/,Zimski-Nedelja,0:12:55.609756
334,35L,Lešće /Groblje/,Zimski-Radni Dan,1:06:00
335,9,Blok 45,Zimski-Radni Dan,0:08:52.031250
336,7,Blok 45,Zimski-Radni Dan,0:09:10.781250
337,7,Blok 45,Zimski-Nedelja,0:10:13.043478
338,7,Blok 45,Zimski-Subota,0:10:13.043478
339,9,Blok 45,Zimski-Nedelja,0:11:27.878788
340,9,Blok 45,Zimski-Subota,0:11:27.878788
341,13,Blok 45,Zimski-Radni Dan,0:12:20
342,13,Blok 45,Zimski-Subota,0:13:32.195122
